Ref,Val,Package,PosX,PosY,Rot,Side
"U2","Ra-02","Ai-Thinker-Ra-01-LoRa",130.000000,-113.000000,180.000000,bottom
"U5","LM1117-3.3","SOT-223-3_TabPin2",65.000000,-37.000000,180.000000,bottom
"C1","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",33.000000,-69.000000,0.000000,top
"C2","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",33.000000,-79.000000,0.000000,top
"C5","100u","CP_Radial_D5.0mm_P2.50mm",33.000000,-59.000000,0.000000,top
"CN1","12V-IN","PinHeader_1x02_P2.54mm_Vertical",39.000000,-41.000000,0.000000,top
"CN2","UART","PinHeader_1x04_P2.54mm_Vertical",147.000000,-87.000000,0.000000,top
"J1","LORA-SPI","PinHeader_1x08_P2.54mm_Vertical",107.000000,-104.110000,0.000000,top
"J2","LORA-CTL","PinHeader_1x03_P2.54mm_Vertical",151.000000,-107.000000,0.000000,top
"J3","REG","PinHeader_1x03_P2.54mm_Vertical",73.000000,-34.700000,0.000000,top
"LED1","LED","LED_D3.0mm",71.000000,-135.000000,90.000000,top
"LED2","LED","LED_D3.0mm",81.000000,-135.000000,90.000000,top
"LED3","LED","LED_D3.0mm",91.000000,-135.000000,90.000000,top
"LED4","LED","LED_D3.0mm",55.000000,-135.000000,90.000000,top
"R1","330R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",71.000000,-119.000000,-90.000000,top
"R2","330R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",81.000000,-119.000000,-90.000000,top
"R3","330R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",91.000000,-119.000000,-90.000000,top
"R4","330R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",55.000000,-119.000000,-90.000000,top
"R5","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",123.000000,-45.000000,0.000000,top
"R6","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",123.000000,-51.000000,0.000000,top
"U1A","ESP32-L","PinHeader_1x19_P2.54mm_Vertical",73.000000,-59.000000,0.000000,top
"U1B","ESP32-R","PinHeader_1x19_P2.54mm_Vertical",98.400000,-59.000000,0.000000,top
"U3","SSD1306","PinHeader_1x04_P2.54mm_Vertical",147.000000,-51.000000,0.000000,top
"U4","LM2596","PinHeader_1x04_P2.54mm_Vertical",55.000000,-31.000000,0.000000,top
