Ref,Val,Package,PosX,PosY,Rot,Side
"U3","Ra-02","Ai-Thinker-Ra-01-LoRa",133.000000,-137.000000,180.000000,bottom
"U8","LM1117-3.3","SOT-223-3_TabPin2",69.000000,-41.000000,180.000000,bottom
"C1","100u","CP_Radial_D5.0mm_P2.50mm",33.000000,-57.000000,0.000000,top
"C2","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",83.000000,-45.000000,0.000000,top
"C3","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",83.000000,-52.000000,0.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",151.000000,-91.000000,0.000000,top
"CN1","BATT","PinHeader_1x02_P2.54mm_Vertical",33.000000,-35.000000,0.000000,top
"CN2","SOLAR","PinHeader_1x02_P2.54mm_Vertical",33.000000,-45.000000,0.000000,top
"CN3","TEMP","PinHeader_1x03_P2.54mm_Vertical",165.000000,-121.000000,0.000000,top
"CN4","UART","PinHeader_1x04_P2.54mm_Vertical",165.000000,-137.000000,0.000000,top
"J1","LORA-SPI","PinHeader_1x08_P2.54mm_Vertical",113.000000,-128.110000,0.000000,top
"J2","LORA-CTL","PinHeader_1x03_P2.54mm_Vertical",151.000000,-131.000000,0.000000,top
"J3","REG","PinHeader_1x03_P2.54mm_Vertical",78.000000,-38.700000,0.000000,top
"LED1","LED","LED_D3.0mm",61.000000,-153.000000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",157.000000,-113.000000,-90.000000,top
"R2","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",55.000000,-49.000000,-90.000000,top
"R3","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",55.000000,-59.000000,-90.000000,top
"R4","330R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",61.000000,-137.000000,-90.000000,top
"R5","4k7-DNF","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",151.000000,-75.000000,0.000000,top
"R6","4k7-DNF","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",151.000000,-81.000000,0.000000,top
"U1A","ESP32-L","PinHeader_1x19_P2.54mm_Vertical",77.000000,-65.000000,0.000000,top
"U1B","ESP32-R","PinHeader_1x19_P2.54mm_Vertical",102.400000,-65.000000,0.000000,top
"U2","NEO-6M","PinHeader_1x04_P2.54mm_Vertical",165.000000,-55.000000,0.000000,top
"U4","MPU-6050","PinHeader_1x08_P2.54mm_Vertical",165.000000,-75.000000,0.000000,top
"U5","MAX30102","PinHeader_1x05_P2.54mm_Vertical",165.000000,-101.000000,0.000000,top
"U7","TP4056","PinHeader_1x06_P2.54mm_Vertical",43.000000,-33.000000,0.000000,top
"U9","MT3608","PinHeader_1x04_P2.54mm_Vertical",53.000000,-33.000000,0.000000,top
